人工知能じんこうちのうAIエーアイとは計算という	概念と
研究者も	いる
リーズナブルな	コストで
コストで	なった
大量の	計算リソースが
計算リソースが	入るように
手に	入るように
入るように	なった
なった	ことで
ことで	出現し
ビッグデータが	出現し
出現し	寄せており
企業が	寄せており
膨大な	データの
データの	活用に
活用に	強い
極めて	強い
強い	関心を
関心を	寄せており
寄せており	展開されている
全世界的に	行って
民間企業主導で	行って
莫大な	投資を
投資を	行って
行って	展開されている
人工知能に関する	研究開発競争が
研究開発競争が	展開されている
また	始めている
2011年の	DWaveSystemsによる
DWaveSystemsによる	量子アニーリング方式の
量子アニーリング方式の	製品化を
製品化を	して
嚆矢と	して
して	実用化され
量子コンピュータという	超々並列処理が
超々並列処理が	可能な
可能な	ITインフラが
次世代の	ITインフラが
ITインフラが	実用化され
急速に	実用化され
実用化され	始めた
始めた	事で
事で	解決できる
人工知能の	高速化にも
高速化にも	関わる
深く	関わる
関わる	組み合わせ最適化問題を
組み合わせ最適化問題を	解決できる
リアルタイムに	解決できる
解決できる	環境が
環境が	整備され
整備され	始めている
この	動向を
動向を	受ける
受ける	形で
形で	なった
2016年頃から	なった
一般向けの	ニュース番組でも
ニュース番組でも	なった
人工知能の	研究開発や
研究開発や	サービス展開や
新しい	サービス展開や
サービス展開や	報道が
量子コンピュータに関する	報道が
報道が	なった
目立つように	なった
2017年には	するために
イーロンマスクが	するために
急速に	進化し続ける
進化し続ける	人工知能に対して
人工知能に対して	取らないように
人間が	取らないように
遅れを	取らないように
取らないように	するために
するために	研究開発する
人間の	脳を
脳を	接続する
機械に	接続する
接続する	ブレインマシンインターフェースを
ブレインマシンインターフェースを	研究開発する
研究開発する	ニューラリンク社を
ニューラリンク社を	立ち上げていた
立ち上げていた	ことを
ことを	公表し
公表し	なった
世界中で	なった
話題に	なった
ブレインマシンインターフェースにより	予測されている
人の	インターネットが
インターネットが	出現する
出現する	事が
事が	予測されている
2017年10月には	提唱された
ジェフリーヒントンにより	学習できる
要素間の	位置関係まで
相対的な	位置関係まで
位置関係まで	含めて
含めて	学習できる
学習できる	カプセルネットワークが
カプセルネットワークが	提唱された
2018年3月16日の	提言によると
国際大学GLOCOMの	提言によると
提言によると	分析されている
課題解決型の	AIを
AIを	活用する
活用する	事で
事で	寄与できると
社会変革に	寄与できると
寄与できると	分析されている
2018年8月	実装し
OpenAIが	実装し
好奇心を	実装し
実装し	ノーゲームスコア
ノーゲームスコア	ノーゴール
ノーゴール	公表
無報酬で	行う
目的	なき
なき	探索を
探索を	行う
行う	AIを
AIを	公表
これまでの	AIで
AIで	人間らしいと
最も	人間らしいと
人間らしいと	いう
2018年9月	開発した
MITリンカーン研究所は	開発した
従来ブラックボックスであった	ニューラルネットワークの
ニューラルネットワークの	推論を
推論を	どのような
どのような	段階を
段階を	経て
経て	識別したのかが
識別したのかが	分かる
明確に	分かる
分かる	アーキテクチャを
アーキテクチャを	開発した
2019年に	入ると
入ると	あり
これまで	深層学習では
深層学習では	されてきた
困難と	されてきた
されてきた	言語処理において
言語処理において	あり
大きな	進展が
進展が	あり
あり	至った
Wikipediaなどを	使用した
使用した	読解テストで
読解テストで	至った
人間を	上回るに
上回るに	至った
BERT	ROBERT
ROBERT	

アメリカでは	発表
2013年に	時の
時の	大統領バラクオバマが
大統領バラクオバマが	発表
脳研究プロジェクトを	発表
Googleは	開発している
アレン脳科学研究所と	連携し
連携し	開発している
脳スキャンによって	生まれた
生まれた	データを
大量の	データを
データを	処理するための
処理するための	ソフトウェアを
ソフトウェアを	開発している
2016年の	時点で
時点で	達していると
Googleが	管理している
管理している	データ量は
Brainmapの	データ量は
データ量は	達していると
すでに	達していると
1Zettaバイトに	達していると
達していると	いう
Googleは	始めており
ドイツの	マックスプランク研究所とも
マックスプランク研究所とも	始めており
共同研究を	始めており
始めており	再構成するという
脳の	電子顕微鏡写真から
電子顕微鏡写真から	再構成するという
神経回路を	再構成するという
再構成するという	研究を
研究を	行っている
中国では	立ち上げ
2016年の	第13次5カ年計画から
第13次5カ年計画から	位置づけ
AIを	位置づけ
国家プロジェクトに	位置づけ
位置づけ	立ち上げ
脳研究プロジェクトとしても	立ち上げ
立ち上げ	推進してる
官民一体で	推進してる
AIの	研究開発を
研究開発を	推進してる
中国の	教育機関では
教育機関では	投じられてもいる
18歳以下の	天才児を
天才児を	集めて
集めて	投じられてもいる
公然と	AI兵器の
AI兵器の	開発に
開発に	投じられてもいる
マサチューセッツ工科大学MITの	教授やなどによれば
教授やなどによれば	あると
中国では	あると
プライバシー意識の	強い
強い	欧米と
欧米と	比較して
比較して	あると
AIの	研究や
研究や	新技術の
新技術の	実験を
実験を	しやすい
しやすい	環境に
環境に	あると
あると	されている
日本で	推進している
スーパーコンピュータの	研究開発を
研究開発を	推進している
推進している	齊藤元章も
齊藤元章も	主張している
AIの	開発において
開発において	リードする
中国が	リードする
リードする	可能性を
可能性を	主張している
世界の	ディープラーニング用計算機の
ディープラーニング用計算機の	4分の3は中国が占めてる
4分の3は中国が占めてる	ともされる
米国政府によれば	なっている
2013年から	なっている
ディープラーニングに関する	論文数では
論文数では	なっている
中国が	超えて
米国を	超えて
超えて	なっている
世界一と	なっている
やなどAIの	独占している
世界的な	大会でも
大会でも	独占している
中国勢が	独占している
上位を	独占している
大手AI企業Google	マイクロソフト
マイクロソフト	アップルなどの
アップルなどの	幹部でもあった
幹部でもあった	台湾系アメリカ人科学者のは
台湾系アメリカ人科学者のは	を著して
中国が	握りつつあると
AIで	握りつつあると
覇権を	握りつつあると
握りつつあると	する
を著して	取り上げた
アメリカの	政界や
政界や	メディアなどが
メディアなどが	取り上げた
フランス大統領エマニュエルマクロンは	宣言し
AI分野の	開発支援に
開発支援に	向け
向け	宣言し
5年で	15億ドル約1600億円を
15億ドル約1600億円を	支出すると
支出すると	宣言し
宣言し	開き
AI研究所を	開き
パリに	開き
開き	招致した
フェイスブック	グーグル
グーグル	サムスン
サムスン	DeepMind
DeepMind	富士通などを
富士通などを	招致した
イギリスとも	決定されている
AI研究における	連携も
長期的な	連携も
連携も	決定されている
EU全体としても	方向
Horizon2020計画を通じて	方向
215億ユーロが	投じられる
投じられる	方向
韓国は	する
20億ドルを	する
2022年までに	する
投資を	する
6つの	AI機関を
AI機関を	設立し
設立し	作られた
褒賞制度も	作られた
目標は	ことだと
2022年までに	入る
AIの	世界トップ4に
世界トップ4に	入る
入る	ことだと
ことだと	いう
日経新聞調べによると	2位中国
国別の	AI研究論文数は
AI研究論文数は	米国
1位	米国
2位中国	3位
3位	7位だった
インドで	7位だった
日本は	7位だった
プログラミング言語は	使われている
Cの	ほか
ほか	Pythonが
Pythonが	使われている
広く	使われている
深層学習を	利用するには
利用するには	なる
微分	線形代数
線形代数	確率統計といった
確率統計といった	数学知識が
大学レベル以上の	数学知識が
数学知識が	なる
必要と	なる
脳シミュレーションを	行うには
行うには	なる
脳神経科学の	知識も
知識も	なる
重要と	なる
人工知能学会の	松尾豊は
松尾豊は	否定しているが
著書	否定しているが
人工知能は	超えるか
人間を	超えるか
超えるか	於いて
内に	於いて
於いて	起こす
人間に対して	起こす
反乱を	起こす
起こす	可能性を
可能性を	否定しているが
否定しているが	いる
人工知能の	危険性について
危険性について	鳴らしている
警鐘を	鳴らしている
鳴らしている	著名人も
著名人も	いる
MITの	教授は
教授は	変わると
莫大な	資金力と
資金力と	人権の
人権の	弾圧を
弾圧を	併せ持つ
併せ持つ	中華人民共和国が
中華人民共和国が	成功すれば
人工知能の	開発競争で
開発競争で	成功すれば
成功すれば	優位という
民主的な	国家が
国家が	優位という
技術革新に	優位という
優位という	既成概念が
既成概念が	変わると
変わると	述べ
述べ	鳴らしており
ディープラーニングの父の	一人と
一人と	呼ばれているは
呼ばれているは	鳴らしており
中国が	利用している
市民の	監視や
監視や	政治目的で
政治目的で	利用している
人工知能を	利用している
利用している	ことに
ことに	鳴らしており
警鐘を	鳴らしており
鳴らしており	AI独裁と
海外の	人権団体や
人権団体や	メディアなどは
メディアなどは	AI独裁と
中国に	代表される
代表される	人工知能で
人工知能で	抑圧する
人権を	抑圧する
抑圧する	政治体制を
政治体制を	デジタル独裁
デジタル権威主義	デジタル独裁
デジタル独裁	デジタル警察国家
デジタル警察国家	デジタル全体主義
デジタル全体主義	AI独裁と
AI独裁と	呼んだ
中国では	埋め込んだ
ヘルメットや	帽子に
帽子に	埋め込んだ
埋め込んだ	センサーから
センサーから	監視する
国民の	脳波と
脳波と	感情を
感情を	監視する
人工知能で	監視する
監視する	政府支援の
政府支援の	プロジェクトが
プロジェクトが	推し進められ
推し進められ	行わせ
ネット検閲と	官僚や
官僚や	囚人から
刑務所の	囚人から
囚人から	歩行者まで
横断歩道の	歩行者まで
歩行者まで	行わせ
監視を	行わせ
人工知能に	行わせ
行わせ	顔認識
監視カメラと	警察の
警察の	サングラス型スマートグラスや
サングラス型スマートグラスや	ロボットに
ロボットに	顔認識
顔認識	システム天網を
システム天網を	搭載するなど
搭載するなど	行われている
人工知能による	監視社会管理社会化が
監視社会管理社会化が	行われている
新疆ウイグル自治区では	あると
監視カメラや	携帯電話などから
携帯電話などから	収集した
収集した	個人情報を
個人情報を	解析するや
人工知能で	解析するや
解析するや	選別した
人種プロファイリングで	選別した
選別した	ウイグル族を
少数民族の	ウイグル族を
ウイグル族を	経ずに
法的手続きを	経ずに
経ずに	犯す
2017年6月時点で	約1万5千人も
約1万5千人も	犯す
テロや	犯罪を
犯罪を	犯す
犯す	可能性が
可能性が	あると
あると	して
して	報じられており
新疆ウイグル再教育キャンプに	予防拘禁していると
予防拘禁していると	する
する	内部文書であるが
中国政府の	内部文書であるが
内部文書であるが	報じられており
報じられており	ないと
AIを	使った
使った	政府による
政府による	コンピュータが
特定の	民族の
民族の	選別や
選別や	コンピュータが
コンピュータが	送る
人間を	送る
強制収容所に	送る
送る	人権侵害は
人権侵害は	ないと
前例が	ないと
ないと	して
して	なっている
国際問題に	なっている
香港では	恐れ
中国本土と	同様の
同様の	監視社会化を
人工知能による	監視社会化を
監視社会化を	恐れ
恐れ	香港民主化デモが起きた
2019年	香港民主化デモが起きた
香港民主化デモが起きた	際は
際は	破壊された
監視カメラを	搭載した
搭載した	スマート街灯が
スマート街灯が	破壊された
市民に	破壊された
次々と	破壊された
中国は	輸出しており
AI監視技術を	輸出しており
中東アジアアフリカなど	世界各国に
世界各国に	輸出しており
輸出しており	懸念されている
国際連合の専門機関である	国際電気通信連合ITUを通じて
国際電気通信連合ITUを通じて	主導してる
中国が	主導してる
AI監視技術の	国際標準化も
国際標準化も	主導してる
主導してる	ことから
ことから	拡散する
中国の	ような
ような	人権侵害が
人権侵害が	拡散する
世界に	拡散する
拡散する	ことが
ことが	懸念されている
人権団体などから	懸念されている
中国の	社会信用システムに
社会信用システムに	代表されるような
代表されるような	活用して
人工知能で	活用して
ビッグデータを	活用して
活用して	決める
人々の	適性を
適性を	決める
決める	制度は
制度は	あり
社会階層間の	格差を
格差を	固定化する
固定化する	ことに
ことに	繋がると
繋がると	する
する	懸念が
懸念が	あり
あり	施行された
欧州連合では	施行された
2018年5月から	認めない
人工知能のビッグデータ分析のみによる	認めない
雇用や	融資での
融資での	差別を
差別を	認めない
認めない	EU一般データ保護規則が
EU一般データ保護規則が	施行された
マサチューセッツ工科大学が	顔認識
顔認識	達したのに対して
システムの	精度で
精度で	達したのに対して
Microsoftと	中国の
中国の	Megviiは
Megviiは	達したのに対して
9割超で	達したのに対して
IBMは	達したのに対して
8割に	達したのに対して
達したのに対して	発表した
Amazonは	発表した
6割で	あると
人種差別的な	バイアスが
バイアスが	あると
あると	する
する	研究を
研究を	発表した
発表した	なった
際は	なった
Amazonと	論争に
論争に	なった
主要国の	軍隊は
軍隊は	試みている
ミサイル防衛の	分野での
分野での	自動化を
自動化を	試みている
アメリカ海軍は	破壊できる
完全自動の	防空システム
防空システム	ファランクスCIWSを
ファランクスCIWSを	導入しガトリング砲により
対艦ミサイルを	破壊できる
イスラエル軍は	所有し
対空迎撃ミサイルシステム	アイアンドームを
アイアンドームを	所有し
所有し	稼働させて
ガザ地区との	境界線には
境界線には	検知する
標的を	検知する
自動	検知する
検知する	ガーディアムや
ガーディアムや	サムソンRCWSを
サムソンRCWSを	稼働させて
稼働させて	射殺している
複数の	人間を
人間を	射殺している
今後	生み
AIは	生み
新しい	軍事能力を
軍事能力を	生み
生み	変え
軍の	指揮
指揮	訓練
訓練	展開を
部隊の	展開を
展開を	変え
変え	一変させ
戦争を	一変させ
一変させ	決めることになるとの
その	変化は
変化は	決めることになるとの
大国間の	軍事バランスを
軍事バランスを	決めることになるとの
決めることになるとの	主張も
主張も	ある
P1哨戒機の	ように
ように	搭載されることもある
戦闘指揮システムに	搭載されることもある
支援用に	搭載されることもある
2016年6月	発表された
米シンシナティ大学の	研究チームが
研究チームが	開発した
開発した	ALPHAは
ALPHAは	発表された
元米軍パイロットとの	模擬空戦で
模擬空戦で	勝利したと
一方的に	勝利したと
勝利したと	発表された
AIプログラムは	使用しており
遺伝的アルゴリズムと	ファジィ
ファジィ	使用しており
制御を	使用しており
使用しており	動作可能
アルゴリズムの	動作に
動作に	高い
高い	処理能力は
処理能力は	必要と
必要と	せず
RaspberryPi上で	動作可能
アメリカ合衆国	国防総省は
国防総省は	出し
人道上の	観点から
観点から	介さない
人間の	判断を
判断を	介さない
介さない	開発禁止令を
自律殺傷兵器の	開発禁止令を
開発禁止令を	出し
2012年に	出し
出し	した
2017年には	した
これを	恒久的な
恒久的な	ものに
ものに	した
人工知能に	勝ち残る力として
人間が	勝ち残る力として
勝ち残る力として	注目されている
OODAループが	注目されている
一部の	科学者や
科学者や	ハイテク企業の
ハイテク企業の	首脳らは
首脳らは	主張している
AIの	軍事利用により
軍事利用により	加速すると
世界の	不安定化は
不安定化は	加速すると
加速すると	主張している
2015年に	開催された
ブエノスアイレスで	開催された
開催された	人工知能国際合同会議で
人工知能国際合同会議で	創業者のイーロン・マスク
スティーブンホーキング	アメリカ宇宙ベンチャー企業の
アメリカ宇宙ベンチャー企業の	スペースX
スペースX	創業者のイーロン・マスク
創業者のイーロン・マスク	出されたが
アップル社の	共同創業者の
共同創業者の	スティーブウォズニアックら
スティーブウォズニアックら	企業家らにより
科学者と	企業家らにより
企業家らにより	出されたが
公開書簡が	出されたが
出されたが	とらえられ
そこには	とらえられ
自動操縦による	銃火器を
無人爆撃機や	銃火器を
銃火器を	操る
操る	人型
ロボットなど	AI搭載型兵器は
AI搭載型兵器は	とらえられ
火薬	核兵器に
核兵器に	続く
続く	革命と
第3の	革命と
革命と	とらえられ
とらえられ	予測
うち	なると
一部は	なると
数年以内に	なると
実用可能と	なると
なると	予測
国家の	不安定化
不安定化	暗殺
暗殺	抑圧
抑圧	民族への
特定の	民族への
民族への	選別攻撃などに
選別攻撃などに	利用され
利用され	記された
兵器の	開発競争が
開発競争が	ならないと
人類にとって	有益な
有益な	ものとは
ものとは	ならないと
ならないと	記された
同年4月には	求めている
ハーバード大学	ロースクールと
ロースクールと	国際人権団体である
国際人権団体である	ヒューマンライツウォッチが
ヒューマンライツウォッチが	求めている
自動操縦型武器の	禁止を
禁止を	求めている
2017年11月には	行われ
国際連合で	行われ
AIの	軍事利用に関する
軍事利用に関する	初の
初の	公式専門家会議が
公式専門家会議が	行われ
行われ	盛り込まれなかった
2019年8月に	採択するも
同会議は	採択するも
AI兵器の	運用をめぐる
運用をめぐる	国際ルールを
事実上初の	国際ルールを
国際ルールを	採択するも
採択するも	盛り込まれなかった
法的拘束力は	盛り込まれなかった
新冷戦や	米中冷戦の
米中冷戦の	状態に
状態に	あるとも
あるとも	評されている
評されている	米国中国ロシアは
米国中国ロシアは	行っている
核開発に	匹敵する
匹敵する	開発競争を
開発競争を	めぐって
人工知能の	軍事利用を
軍事利用を	めぐって
めぐって	行っている
中国は	発表し
2017年6月に	成功した
119機の	ドローン群の
ドローン群の	自律飛行実験で
自律飛行実験で	成功した
前年2016年に	成功した
103機の	飛行実験に
飛行実験に	成功した
成功した	米軍の
米軍の	記録を
記録を	更新して
更新して	発表し
翌2018年5月には	発表し
北米の	都市を
都市を	爆撃する
爆撃する	映像も
CGの	映像も
映像も	発表し
発表し	行うなど
同年6月には	行うなど
56隻の	自律無人艇を
自律無人艇を	使った
使った	世界最大規模の
世界最大規模の	試験を
試験を	行うなど
行うなど	統合運用で
AIの	軍事利用の
軍事利用の	技術特にスウォームと
技術特にスウォームと	呼ばれる
呼ばれる	統合運用で
大量の	徘徊型兵器などの
徘徊型兵器などの	自律兵器の
自律兵器の	統合運用で
統合運用で	進展しており
中国が	進展しており
急速に	進展しており
進展しており	されている
アメリカに	追い付く
追い付く	可能性が
可能性が	ある
ある	ことについて
ことについて	懸念し
懸念し	あるとの
アメリカ側では	あるとの
将来に	備える
備える	必要が
必要が	あるとの
あるとの	主張も
主張も	されている
中国の	軍用AI開発は
軍用AI開発は	与え
アメリカの	軍部や
軍部や	政界に
政界に	与え
危機感を	与え
与え	協力していると
2019年3月に	ジョセフダンフォード統合参謀本部議長や
ジョセフダンフォード統合参謀本部議長や	パトリックシャナハン国防長官代行
パトリックシャナハン国防長官代行	ドナルドトランプ大統領は
ドナルドトランプ大統領は	協力していると
中国での	AI研究拠点の
AI研究拠点の	設立などで
設立などで	協力していると
中国人民解放軍に	協力していると
協力していると	非難し
Googleを	非難し
非難し	面談して
Googleの	CEOサンダーピチャイは
CEOサンダーピチャイは	面談して
ダンフォードや	トランプ大統領と
トランプ大統領と	面談して
面談して	釈明する
中国の	AI研究拠点の
AI研究拠点の	成果は
成果は	釈明する
中国に限らず	開放されていると
全ての	人々に
人々に	開放されていると
開放されていると	釈明する
釈明する	事態に
事態に	なった
アメリカでは	極秘計画
Googleが	協力する
米軍の	AIの
AIの	軍事利用に
軍事利用に	協力する
協力する	極秘計画
極秘計画	行っていた
メイヴン計画を	行っていた
行っていた	ことが
ことが	暴露されており
Googleの	社員に
社員に	暴露されており
暴露されており	受けた
2018年12月の	公聴会では
アメリカ議会の	公聴会では
公聴会では	受けた
同様に	暴露された
暴露された	中国政府に
中国政府に	協力する
協力する	秘密計画と
秘密計画と	ともに
ともに	誓った
人工知能を	用いた
用いた	兵器開発や
兵器開発や	人権侵害は
人権侵害は	拒否すると
拒否すると	誓った
Googleが	誓った
誓った	人工知能開発6原則との
同年6月の	人工知能開発6原則との
人工知能開発6原則との	整合性で
整合性で	受けた
追及を	受けた
中国軍の	戦闘機J20の
戦闘機J20の	標的選択支援アルゴリズムに
標的選択支援アルゴリズムに	報道された際は
グーグルの	AI研究者が
AI研究者が	関わったと
関わったと	報道された際は
報道された際は	否定した
AIではなく	モデリングと
統計学的な	モデリングと
モデリングと	否定した
また	呼んだ
Microsoftが	呼んだ
中国軍の	教育機関と
教育機関と	共同研究を
AIの	共同研究を
共同研究を	発表した
発表した	際も
際も	呼んだ
同様に	呼んだ
波紋を	呼んだ
2019年11月に	構築しているだけでなく
マークエスパー国防長官は	構築しているだけでなく
中国が	構築しているだけでなく
AIによって	構築しているだけでなく
新しい	監視国家を
監視国家を	構築しているだけでなく
構築しているだけでなく	販売している
中東で	拡散させて
翼竜や	彩虹など
彩虹など	拡散させて
無人攻撃機を	拡散させて
大量に	拡散させて
拡散させて	攻撃する
AIで	攻撃する
自律的に	攻撃する
攻撃する	ドローン兵器も
ドローン兵器も	販売している
販売している	ことに
ことに	鳴らした
警鐘を	鳴らした
ロシアと	中国は
中国は	実用化してると
既に	実用化してると
実用化してると	される
される	自動化の
ハッキングの	自動化の
自動化の	他
他	なりすましたり
特定の	個人を
個人を	攻撃したり
攻撃したり	なりすましたり
ディープフェイクで	なりすましたり
なりすましたり	挙げられている
ボット投稿により	挙げられている
世論を	挙げられている
操る等の	懸念が
懸念が	挙げられている
Googleは	発表した
2019年3月	指導するために
人工知能プロジェクトを	指導するために
倫理面で	指導するために
指導するために	構成される
哲学者政策立案者経済学者テクノロジスト等で	構成される
構成される	設置すると
AI倫理委員会を	設置すると
設置すると	発表した
しかし	要請した
倫理委員会には	含まれており
反科学反マイノリティ地球温暖化懐疑論等を	支持する
支持する	人物も
人物も	含まれており
含まれており	要請した
Google社員らは	要請した
解任を	要請した
4月4日	理由で
Googleは	判明したという
倫理委員会が	機能できない
期待どおりに	機能できない
機能できない	ことが
ことが	判明したという
判明したという	理由で
理由で	発表した
委員会の	解散を
解散を	発表した
東洋哲学を	吸収させるという
AIに	吸収させるという
吸収させるという	テーマに
三宅陽一郎の	テーマに
テーマに	応じて
応じて	挙げ
井口尊仁は	挙げ
鳥居TORIIという	プロジェクトを
自分の	プロジェクトを
プロジェクトを	挙げ
挙げ	語る
われわれは	アニミズムで
アニミズムで	見いだす
あらゆる	ものに
ものに	見いだす
霊的存在を	見いだす
見いだす	文化が
文化が	ありますと
ありますと	語る
三宅	立石従寛に
および	立石従寛に
立石従寛に	語る
アニミズム的人工知能論は	現代アートや
現代アートや	論じた
禅の	悟りを
悟りを	やって
どう	やって
やって	やらせるかを
AIに	やらせるかを
論じた	通じている
三宅の	人工知能のための哲学塾東洋哲学篇にも
人工知能のための哲学塾東洋哲学篇にも	通じている
元	Google
Google	エンジニアの
エンジニアの	アンソニー
アンソニー	レバンドウスキーは
レバンドウスキーは	創立している
2017年	創立している
AIを	する
神と	する
する	宗教団体
宗教団体	WayoftheFuture未来の道を
WayoftheFuture未来の道を	創立している
団体の	使命は
使命は	表現されており
人工知能AIに	基づいた
基づいた	実現を
Godheadの	実現を
実現を	促進し
促進し	開発する
開発する	こと
こと	ことと
そして	ことと
Godheadの	理解と
理解と	崇拝を
崇拝を	通して
通して	する
社会を	する
より	良く
良く	する
する	ことに
ことに	貢献する
貢献する	ことと
ことと	表現されており
抽象的に	表現されており
表現されており	報道した
多くの	海外メディアは
海外メディアは	報道した
SF映画や	歴史などと
歴史などと	関連付けて
関連付けて	報道した
Uberと	Googleの
Googleの	Waymoは
Waymoは	行っている
レバンドウスキーが	盗用した
自動運転に関する	機密情報を
機密情報を	盗用した
盗用した	ことを
ことを	訴え
訴え	行っている
裁判を	行っている
行っている	一方
一方	征服するんだと
レバンドウスキーは	征服するんだと
Uberの	元CEOトラビスカラニックに対し
元CEOトラビスカラニックに対し	ボットひとつずつ
ボットひとつずつ	征服するんだと
我々は	征服するんだと
世界を	征服するんだと
征服するんだと	発言するなど
発言するなど	示している
野心的な	振る舞いを
振る舞いを	示している
相愛大学人文学部	教授の
教授の	釈徹宗は
釈徹宗は	なってきていますと
哲学や	思想や
思想や	文学と
文学と	線引きも
宗教や	霊性論との
霊性論との	線引きも
線引きも	なってきていますと
不明瞭に	なってきていますと
なってきていますと	述べている
哲学者倫理学者である	内田樹によれば
内田樹によれば	いう
	いう
本物の	哲学者は
哲学者は	していると
みんな	していると
死者と	幽霊と
幽霊と	異界の
異界の	話を
話を	していると
していると	いう
発明家レイカーツワイルが	言うには
言うには	論争は
哲学者ジョンサールが	提起した
提起した	AIの
強い	AIと
AIと	弱い
弱い	AIの
AIの	論争は
論争は	話題である
AIの	哲学議論で
哲学議論で	ホットな
ホットな	話題である
哲学者ジョンサール	ダニエルデネットによると
および	ダニエルデネットによると
ダニエルデネットによると	主張している
サールの	部屋や
中国語の	部屋や
部屋や	ネドブロックらの
ネドブロックらの	中国脳といった
中国脳といった	思考実験は
機能主義に	批判的な
批判的な	思考実験は
思考実験は	主張している
真の	意識が
意識が	実現できないと
形式論理システムによって	実現できないと
主張している	実現できないと
科学を	語るとは
語るとは	ことかにおいて
どういう	ことかにおいて
ことかにおいて	指摘している
科学者の	須藤靖は
須藤靖は	指摘している
科学についての	哲学的考察科学哲学が
哲学的考察科学哲学が	指摘している
実際には	指摘している
科学と	断絶している
ことを	指摘している
また	脳科学計算機科学コンピュータ科学
心や	意識という
意識という	問題を
問題を	解明してきた
解明してきた	脳科学計算機科学コンピュータ科学
	批判している
人工知能研究開発等に	関連して
関連して	批判している
科学者の	フランシスクリックは
フランシスクリックは	批判している
哲学者たちは	2000年という
2000年という	間
長い	間
間	残して
ほとんど	残して
何も	残して
成果を	残して
残して	こなかったと
こなかったと	批判している
こう	した
した	観点において
観点において	評価されている
哲学は	学問科学に過ぎないと
二流どころか	三流の
三流の	学問科学に過ぎないと
学問科学に過ぎないと	評価されている
脳科学者の	澤口俊之は
澤口俊之は	賛同し
クリックに	賛同し
賛同し	述べている
これは	なるが
私の	愚痴に
ため息まじりの	愚痴に
愚痴に	なるが
なるが	思うと
哲学者や	思想家というのは
思想家というのは	思うと
つくづく	暇だと
暇だと	思うと
思うと	述べている
実際	伝えており
哲学は	始まったと
暇（スコレー）から	始まったと
始まったと	伝えており
アリストテレスが	伝えており
伝えており	的外れではないと
上記の	ような
ような	否定的発言も
否定的発言も	的外れではないと
的外れではないと	言う
科学哲学者の	野家啓一は
野家啓一は	言う
哲学者は	してきた
科学とは	違う
違う	日常的言語で
日常的言語で	語ろうと
存在や	宇宙を
宇宙を	語ろうと
語ろうと	してきた
しかし	信用していなかった
理論物理学者ディラックは	信用していなかった
哲学者を	信用していなかった
ことさら	信用していなかった
ディラックが	見たところ
見たところ	理解していない
ウィトゲンシュタインを	含め
含め	哲学者たちは
哲学者たちは	理解していない
量子力学どころか	理解していない
パスカル以降の	確率の
確率の	概念さえ
概念さえ	理解していない
非科学的な	日常的言語を
日常的言語を	使っても
いくら	使っても
使っても	できないというのが
正確な	意思疎通を
意思疎通を	行う
行う	ことは
ことは	できないというのが
できないというのが	されている
ディラックの	考えだと
考えだと	されている
生命情報科学者神経科学者の	合原一幸編著
合原一幸編著	論じられているが
人工知能は	創られるによれば
こう	して
して	創られるによれば
創られるによれば	論じられているが
AIの	発展に
急激な	発展に
発展に	伴って
伴って	論じられているが
技術的特異点シンギュラリティの	思想や
思想や	哲学が
哲学が	論じられているが
一部で	論じられているが
論じられているが	話ではない
特異点と	言っても
言っても	話ではない
数学的な	話ではない
前掲書は	記している
そもそも	超えるという
シンギュラリティと	関係した
関係した	議論における
議論における	脳を
人間の	脳を
脳を	超えるという
超えるという	言明自体が
言明自体が	定義できていないと
うまく	定義できていないと
定義できていないと	記している
確かに	捉える
脳を	捉える
デジタル情報処理システムとして	捉える
捉える	観点から
観点から	見れば
見れば	起こり得るかもしれない
シンギュラリティは	起こり得るかもしれない
しかし	示されている
実際の	脳は
脳は	ハイブリッド系である
その	ような
ような	システムではなく
単純な	システムではなく
システムではなく	ハイブリッド系である
デジタルと	アナログが
アナログが	融合した
融合した	ハイブリッド系である
ハイブリッド系である	ことが
ことが	示されている
脳神経科学の	観察結果で
観察結果で	示されている
前掲書によると	存在し
神経膜では	存在し
様々な	ノイズが
ノイズが	存在し
存在し	生み出されている
この	ノイズ付きの
ノイズ付きの	アナログ量によって
アナログ量によって	生み出されている
脳内の	ニューロンの
ニューロンの	カオスが
カオスが	生み出されている
生み出されている	ため
ため	考えられている
この	ような
ような	状況を
状況を	記述する
デジタルで	記述する
記述する	ことは
ことは	考えられている
極めて	困難と
困難と	考えられている
数学者の	田中一之は
田中一之は	述べており
一般の	哲学者は
哲学者は	専門家ではないと
論理の	専門家ではないと
専門家ではないと	述べており
述べており	計算機科学者コンピュータ科学者電子工学者のトルケル
フランセーンは	批判している
哲学者たちによる	言及の
数学的な	言及の
言及の	多くが
多くが	批判している
ひどい	誤解や
誤解や	自由連想に
自由連想に	基づいていると
基づいていると	批判している
田中によると	書いた
ゲーデルの	不完全性定理について
不完全性定理について	書いた
哲学者が	書いた
書いた	本が
本が	販売されていたが
フランセーンの	本と
本と	同じ
同じ	頃に
頃に	販売されていたが
書店	販売されていたが
販売されていたが	酷評された
哲学者の	本は
本は	酷評された
専門誌によって	酷評された
その	本は
本は	高かったが
全体として	読みやすく
読みやすく	高かったが
一般読者からの	評判は
評判は	高かったが
